city,placeid,name
NewYork,ChIJOwg_06VPwokRYv534QaPC8g,New York
NewYork,ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art
NewYork,ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History
NewYork,ChIJHRH97uxYwokR6CBeDyn1jtg,The Frick Collection
NewYork,ChIJ1eNig1VYwokRaYklB7yT0mo,Broadway @ Times Square Hotel
NewYork,ChIJX44S6a1ZwokRvIWf4R_fdiI,The New Yorker A Wyndham Hotel
NewYork,ChIJKxDbe_lYwokRVf__s8CPn-o,The Museum of Modern Art
NewYork,ChIJhRwB-yFawokR5Phil-QQ3zM,Madison Square Garden
NewYork,ChIJYaVdffBYwokRnTOoCzCq9mE,The Plaza Hotel
NewYork,ChIJUW4vEPxYwokRW6o24DU0YIg,St. Patrick's Cathedral
NewYork,ChIJmZ5emqJYwokRuDz79o0coAQ,Solomon R. Guggenheim Museum
NewYork,ChIJPS8b1vhYwokRldqq2YHmxJI,Radio City Music Hall
NewYork,ChIJN6W-X_VYwokRTqwcBnTw1Uk,Lincoln Center for the Performing Arts
NewYork,ChIJ9U1mz_5YwokRosza1aAk0jM,Rockefeller Center
NewYork,ChIJu6kY43RawokRnmczCmSH-_s,Lotte New York Palace
NewYork,ChIJ2RFUePdYwokRd5R6XF6xFD0,Carnegie Hall
NewYork,ChIJyTmcRApbwokR-oXJRqpVI8Y,Brooklyn Museum
NewYork,ChIJQwRohxBbwokRmHrfAMb3ixc,Prospect Park
NewYork,ChIJK3vOQyNawokRXEa9errdJiU,Brooklyn Bridge
NewYork,ChIJYeZuBI9YwokRjMDs_IEyCwo,Manhattan
